,family,file_name,genus,img_array,species,uid
28355,Lutjanidae,E000321_L.MP4.5401.1219.731.1567.963.png,Lutjanus,"[[[ 20.495602  140.5576    124.904396 ]
  [ 17.0476    143.58119   125.9544   ]
  [ 16.44      144.44      126.439995 ]
  ...
  [ 11.640003  134.64      111.64     ]
  [ 12.679989  137.68      115.67999  ]
  [ 13.        137.32      114.98001  ]]

 [[ 18.3668    143.6068    125.98     ]
  [ 17.04      144.9984    126.99921  ]
  [ 14.400001  142.4       124.4      ]
  ...
  [ 10.614006  133.61401   110.614006 ]
  [ 10.040799  135.0408    113.0408   ]
  [  9.739593  134.0596    112.385994 ]]

 [[ 18.36      144.36      128.36     ]
  [ 16.76      144.72      128.72     ]
  [ 15.88      143.88      127.88     ]
  ...
  [  9.520002  132.52      109.520004 ]
  [  8.        133.        111.       ]
  [  8.        133.        110.32001  ]]

 ...

 [[  7.1239777 110.80398    92.46398  ]
  [  6.8019876 106.861984   87.88199  ]
  [  7.2999997 107.3        88.3      ]
  ...
  [ 14.159995  137.15999   116.159996 ]
  [  9.586061  134.58606   114.58606  ]
  [  6.476023  131.47603   111.47602  ]]

 [[ 12.167284  115.85368    97.54047  ]
  [  9.998023  110.11719    91.15718  ]
  [ 10.2740135 110.333984   91.35397  ]
  ...
  [ 18.64798   143.64798   121.68796  ]
  [ 23.039978  148.03918   128.03958  ]
  [ 17.839106  142.79913   122.819115 ]]

 [[  0.8975977 105.57759    88.237595 ]
  [  7.8868    111.58679    93.26679  ]
  [  8.660004  112.34       94.       ]
  ...
  [ 23.36      148.36      128.36     ]
  [ 24.6668    149.62682   129.6468   ]
  [ 23.884403  146.8844    127.8844   ]]]",vitta,28356.0
1753,Carangidae,A000008_R.avi.75717.973.190.1388.466.png,Carangoides,"[[[  0.       164.       196.      ]
  [  0.       164.       196.      ]
  [  0.       164.       196.      ]
  ...
  [  0.       170.       202.      ]
  [  0.       169.       202.      ]
  [  0.       169.       202.      ]]

 [[  0.       164.       196.      ]
  [  0.       164.       196.      ]
  [  0.       164.       196.      ]
  ...
  [  0.       168.       202.      ]
  [  0.       166.       199.      ]
  [  0.       166.       199.      ]]

 [[  0.       163.       196.      ]
  [  0.       163.       196.      ]
  [  0.       163.       196.      ]
  ...
  [  0.       166.       200.      ]
  [  0.       166.       199.      ]
  [  0.       166.       199.      ]]

 ...

 [[  0.       108.87202  127.87202 ]
  [  0.       103.664    123.664   ]
  [  0.       105.559975 126.55998 ]
  ...
  [  0.       103.35998  128.35997 ]
  [  0.       129.91191  161.91191 ]
  [  0.       120.31998  150.31998 ]]

 [[  0.       130.48627  149.48627 ]
  [  0.       129.35175  149.35175 ]
  [  0.       112.319824 133.31982 ]
  ...
  [  0.       101.45602  127.816   ]
  [  0.       127.971214 162.74081 ]
  [  0.       120.76001  152.76001 ]]

 [[  0.       150.6912   161.6912  ]
  [  1.689609 151.1424   163.4224  ]
  [  6.312011 148.752    163.752   ]
  ...
  [  0.       118.30394  138.30394 ]
  [  0.       124.0768   147.43678 ]
  [  0.       122.       146.      ]]]",orthogrammus,1754.0
10893,Nemipteridae,A000059_L.avi.96014.340.909.553.1051.png,Scolopsis,"[[[0.0000000e+00 6.8640503e+01 6.7640503e+01]
  [0.0000000e+00 7.2424599e+01 7.1424599e+01]
  [0.0000000e+00 7.1599503e+01 7.3599503e+01]
  ...
  [2.6562012e+01 1.6403201e+02 1.9177202e+02]
  [2.3023773e+01 1.6070377e+02 1.8465378e+02]
  [3.5748623e+01 1.7014226e+02 1.9534044e+02]]

 [[0.0000000e+00 6.7232300e+01 6.6232300e+01]
  [0.0000000e+00 7.5629997e+01 7.4629997e+01]
  [0.0000000e+00 7.7560005e+01 7.9560005e+01]
  ...
  [2.0601524e+01 1.6360152e+02 1.8660152e+02]
  [8.1221237e+00 1.5212213e+02 1.7212213e+02]
  [6.9337873e+00 1.4765532e+02 1.6765532e+02]]

 [[0.0000000e+00 7.2848495e+01 6.9108498e+01]
  [0.0000000e+00 7.6989998e+01 7.7989998e+01]
  [0.0000000e+00 7.8687500e+01 8.3687500e+01]
  ...
  [9.8950243e+00 1.5037253e+02 1.6437253e+02]
  [0.0000000e+00 1.3433257e+02 1.5033257e+02]
  [0.0000000e+00 1.1780757e+02 1.3696754e+02]]

 ...

 [[6.1675482e+00 6.5167549e+01 7.6167549e+01]
  [2.7180214e+00 6.1718021e+01 7.2718025e+01]
  [0.0000000e+00 6.0894989e+01 6.9894997e+01]
  ...
  [2.5003068e-03 4.3052502e+01 5.1052502e+01]
  [0.0000000e+00 4.0561501e+01 4.9561501e+01]
  [0.0000000e+00 3.9110001e+01 4.8899994e+01]]

 [[2.0500000e+00 6.1049999e+01 7.2050003e+01]
  [4.3430972e+00 6.3343098e+01 7.4343094e+01]
  [0.0000000e+00 6.3950001e+01 7.2949997e+01]
  ...
  [0.0000000e+00 4.1325493e+01 4.9325493e+01]
  [0.0000000e+00 4.1206188e+01 5.0206188e+01]
  [2.6622734e+00 4.2292294e+01 5.2082287e+01]]

 [[2.6740947e+00 6.1674095e+01 7.2674095e+01]
  [5.7353916e+00 6.4735390e+01 7.5735390e+01]
  [7.5049365e-01 6.4660995e+01 7.3660995e+01]
  ...
  [0.0000000e+00 4.5960468e+01 5.3170475e+01]
  [2.9229367e-01 4.3872280e+01 5.2082287e+01]
  [3.9499664e+00 4.5784061e+01 5.4784061e+01]]]",xenochrous,10894.0
30574,Lethrinidae,E000501_R.MP4.7229.62.516.431.762.png,Lethrinus,"[[[ 13.73      128.73      145.73     ]
  [ 13.6786995 128.6787    145.6787   ]
  [ 12.81      125.81      141.81001  ]
  ...
  [ 11.65751   130.65752   146.65752  ]
  [ 15.853892  134.8539    150.8539   ]
  [ 13.8613    133.4013    149.1313   ]]

 [[ 16.116499  131.1165    148.4965   ]
  [ 16.013899  131.0139    148.39389  ]
  [ 15.521     128.901     145.091    ]
  ...
  [ 14.056997  133.05699   149.437    ]
  [ 14.927796  133.9278    150.3078   ]
  [ 15.729996  134.73      151.0074   ]]

 [[ 15.5835    130.5835    149.5835   ]
  [ 13.1535    128.1535    147.1535   ]
  [ 14.1725    129.1725    146.1725   ]
  ...
  [  8.277492  127.27749   145.2775   ]
  [ 12.146494  131.1465    149.1465   ]
  [ 11.875503  130.52449   148.15999  ]]

 ...

 [[ 15.0220175 137.37202   156.322    ]
  [ 15.466526  137.81653   156.76651  ]
  [ 17.777468  140.77747   157.07745  ]
  ...
  [ 10.6675005 126.6675    148.6675   ]
  [ 11.645983  127.64598   149.64598  ]
  [ 10.913008  127.02102   150.64203  ]]

 [[ 18.277401  141.2774    158.2774   ]
  [ 18.384403  141.3844    158.3844   ]
  [ 10.790003  133.79001   148.79001  ]
  ...
  [ 21.718988  137.719     159.719    ]
  [ 16.533907  132.5339    154.5339   ]
  [ 13.636466  131.32129   154.37259  ]]

 [[ 17.197104  141.1971    160.1971   ]
  [ 16.480898  140.48091   159.48091  ]
  [ 15.795507  138.79552   155.79552  ]
  ...
  [ 11.546953  129.54695   151.54695  ]
  [ 11.088714  129.08871   151.08871  ]
  [ 10.437414  129.05743   154.05743  ]]]",punctulatus,30575.0
19181,Carangidae,B000215_R.MP4.23980.492.772.1087.1170.png,Carangoides,"[[[ 17.       190.02     177.51    ]
  [ 16.529999 188.53     176.53    ]
  [ 16.2295   188.22949  176.22949 ]
  ...
  [ 13.       184.       175.      ]
  [ 14.       185.       176.      ]
  [ 14.49     185.49     176.49    ]]

 [[ 14.2397   186.7803   174.51    ]
  [ 13.5582   185.5582   173.5582  ]
  [ 12.033    183.3985   170.70999 ]
  ...
  [ 14.       185.       176.      ]
  [ 14.       185.       176.      ]
  [ 14.51001  185.51001  176.51001 ]]

 [[ 13.991    185.3295   173.55    ]
  [ 12.6615   183.31151  171.7615  ]
  [ 13.5975   183.3025   171.1     ]
  ...
  [ 14.       185.       176.      ]
  [ 14.45     185.45     176.45    ]
  [ 15.       186.       177.      ]]

 ...

 [[  0.         0.         0.      ]
  [  0.         0.         0.      ]
  [  0.         0.         0.      ]
  ...
  [  0.         0.         0.      ]
  [  0.         0.         0.      ]
  [  0.         0.         0.      ]]

 [[  0.         0.         0.      ]
  [  0.         0.         0.      ]
  [  0.         0.         0.      ]
  ...
  [  0.         0.         0.      ]
  [  0.         0.         0.      ]
  [  0.         0.         0.      ]]

 [[  0.         0.         0.      ]
  [  0.         0.         0.      ]
  [  0.         0.         0.      ]
  ...
  [  0.         0.         0.      ]
  [  0.         0.         0.      ]
  [  0.         0.         0.      ]]]",orthogrammus,19182.0
46119,Nemipteridae,G000105_L.avi.32435.830.420.1144.629.png,Pentapodus,"[[[ 59.117023 178.11702  127.11703 ]
  [ 63.321774 180.32178  129.32178 ]
  [ 61.16525  178.16525  127.16525 ]
  ...
  [ 37.       178.       134.      ]
  [ 37.19892  178.5639   133.46893 ]
  [ 37.       179.       132.      ]]

 [[ 58.166073 175.16608  124.16608 ]
  [ 61.095    176.095    126.095   ]
  [ 56.62925  171.62926  121.62925 ]
  ...
  [ 37.       178.       134.      ]
  [ 37.36499  178.72998  133.63501 ]
  [ 38.       180.       133.      ]]

 [[ 60.305126 176.30513  121.30513 ]
  [ 62.793873 178.79388  123.79387 ]
  [ 60.725624 176.72562  123.725624]
  ...
  [ 39.051258 180.05125  136.05125 ]
  [ 38.       179.36499  134.27002 ]
  [ 36.275    178.275    131.275   ]]

 ...

 [[106.54999  178.54999  124.      ]
  [106.274994 178.275    123.725006]
  [105.80063  177.80063  123.25064 ]
  ...
  [ 95.853294 133.77826   91.37951 ]
  [ 85.52123  127.674286  83.49927 ]
  [121.774124 170.68404  125.14406 ]]

 [[110.473915 182.4739   126.473915]
  [108.86321  180.86322  124.86321 ]
  [107.90461  179.9046   123.90461 ]
  ...
  [ 78.02114  119.639984  78.10037 ]
  [ 85.42215  129.41856   87.28535 ]
  [115.98775  165.0687   121.33875 ]]

 [[113.15796  185.15796  129.15796 ]
  [112.1089   184.1089   128.1089  ]
  [111.78485  183.78485  127.78485 ]
  ...
  [ 84.75468  128.66464   86.66465 ]
  [ 80.270454 125.80645   83.2754  ]
  [ 76.698105 128.49594   83.88301 ]]]",vitta,46120.0
17531,Lethrinidae,B000131_L.MP4.16117.514.487.671.591.png,Monotaxis,"[[[ 13.0788    191.0788    149.0788   ]
  [ 14.98      192.9776    150.9788   ]
  [ 14.984     192.944     150.964    ]
  ...
  [ 15.        194.        150.       ]
  [ 15.        194.        150.       ]
  [ 15.        194.        150.       ]]

 [[ 15.0412    193.0412    151.0412   ]
  [ 14.1236    192.0036    150.0636   ]
  [ 14.3619995 190.362     149.362    ]
  ...
  [ 15.        194.        150.       ]
  [ 15.        194.        150.       ]
  [ 15.        194.        150.       ]]

 [[ 15.802     193.802     151.802    ]
  [ 15.959999  193.84      151.9      ]
  [ 16.81      192.81      151.81     ]
  ...
  [ 15.        194.        150.       ]
  [ 15.        194.        150.       ]
  [ 15.        194.        150.       ]]

 ...

 [[ 26.460024  177.16006   100.96011  ]
  [ 30.22202   181.22206   105.32211  ]
  [ 44.30994   200.00998   128.81003  ]
  ...
  [ 72.96994   226.96994   176.96994  ]
  [ 44.151993  190.63203   137.81204  ]
  [ 10.746081  156.74608   103.74608  ]]

 [[ 13.877667  163.87767    86.87766  ]
  [ 19.785656  170.08566    93.38565  ]
  [ 39.09603   194.09604   122.09603  ]
  ...
  [ 77.83799   231.838     181.838    ]
  [ 60.219624  206.69966   153.87967  ]
  [ 24.858875  170.85887   117.85888  ]]

 [[ 13.021601  159.10162    76.22164  ]
  [ 14.867218  161.07083    78.54967  ]
  [ 28.802042  176.94208   100.04209  ]
  ...
  [ 73.58999   227.59      177.59     ]
  [ 55.31773   199.95538   148.0566   ]
  [ 19.820175  163.86018   111.84018  ]]]",grandoculis,17532.0
14795,Lethrinidae,A000075_R.avi.101870.474.653.718.816.png,Lethrinus,"[[[  5.174575  159.87993   168.87993  ]
  [ 12.251175  165.41617   175.36118  ]
  [ 33.257122  183.38213   194.53212  ]
  ...
  [  7.63      126.        146.       ]
  [  6.        127.        146.       ]
  [  4.630005  127.685     146.       ]]

 [[ 34.213722  189.98767   198.98767  ]
  [ 42.160423  195.32542   205.27043  ]
  [ 32.76425   182.88925   194.03926  ]
  ...
  [  6.968256  123.968254  143.96826  ]
  [  6.841064  127.841064  146.84106  ]
  [  2.3903596 125.44535   143.76036  ]]

 [[ 34.457626  207.45763   204.45763  ]
  [ 30.974876  197.35988   198.13988  ]
  [  4.9725027 164.89188   169.34187  ]
  ...
  [  7.708137  126.70814   146.70813  ]
  [  7.0466366 131.04663   149.04663  ]
  [  4.141631  129.51163   146.82663  ]]

 ...

 [[ 33.75034   185.20758   193.63257  ]
  [ 33.309498  182.27087   191.78262  ]
  [ 13.383055  154.93927   164.8449   ]
  ...
  [  5.0788045 198.14198   177.71698  ]
  [ 20.669394  217.3694    196.9444   ]
  [ 21.112112  217.81212   197.38712  ]]

 [[  4.8757167 154.54576   163.65575  ]
  [  9.190196  158.39253   167.45055  ]
  [  0.        123.480934  132.47269  ]
  ...
  [ 25.803215  225.24315   204.07817  ]
  [ 31.747265  231.18721   210.02223  ]
  [ 16.268427  215.70837   194.5434   ]]

 [[  0.8631067 113.27787   124.27787  ]
  [  0.        124.20281   134.25781  ]
  [  6.695849  145.08226   153.93227  ]
  ...
  [ 11.480531  218.48053   194.48053  ]
  [ 13.456777  220.45677   196.45677  ]
  [ 13.606118  220.60612   196.60612  ]]]",atkinsoni,14796.0
37486,Labridae,G000028_R.avi.63480.827.395.1001.511.png,Coris,"[[[ 28.       132.       118.      ]
  [ 28.       132.       118.      ]
  [ 28.       132.       118.      ]
  ...
  [ 25.92     129.92     115.92    ]
  [ 25.92     129.92     115.92    ]
  [ 25.92     129.92     115.92    ]]

 [[ 28.       132.       118.      ]
  [ 28.       132.       118.      ]
  [ 28.       132.       118.      ]
  ...
  [ 25.       129.       115.      ]
  [ 25.       129.       115.      ]
  [ 25.       129.       115.      ]]

 [[ 28.       132.       118.      ]
  [ 28.       132.       118.      ]
  [ 28.       132.       118.      ]
  ...
  [ 25.       129.       115.      ]
  [ 25.       129.       115.      ]
  [ 25.       129.       115.      ]]

 ...

 [[ 74.864006 141.864    119.864006]
  [ 75.216    142.216    120.216   ]
  [ 73.04001  140.04001  118.04001 ]
  ...
  [ 43.       114.4       92.2     ]
  [ 43.       114.4       92.2     ]
  [ 43.       114.4       92.2     ]]

 [[ 72.54081  139.54082  117.54081 ]
  [ 72.76     139.76001  117.76    ]
  [ 70.44     137.44     115.44    ]
  ...
  [ 43.       114.        93.      ]
  [ 43.       114.        93.      ]
  [ 43.       114.        93.      ]]

 [[ 72.08     137.24     116.16    ]
  [ 72.7408   137.9008   116.8208  ]
  [ 71.119995 136.28     115.2     ]
  ...
  [ 42.08     118.59999   97.59999 ]
  [ 42.08     118.59999   97.59999 ]
  [ 42.08     118.59999   97.59999 ]]]",aygula,37487.0
58130,Carangidae,G000200_L.avi.26527.1250.0.1699.298.png,Carangoides,"[[[ 18.       193.       207.      ]
  [ 18.029999 193.03     207.03    ]
  [ 18.       193.       209.      ]
  ...
  [ 16.099976 183.09998  195.09998 ]
  [ 18.970001 181.97     197.97    ]
  [ 16.02002  179.02002  195.02002 ]]

 [[ 18.       193.       205.0794  ]
  [ 19.       194.       206.06    ]
  [ 18.0015   193.0015   206.96149 ]
  ...
  [ 14.149963 181.14996  193.14996 ]
  [ 18.970001 181.97     197.97    ]
  [ 16.       179.       195.      ]]

 [[ 17.       192.       204.02    ]
  [ 19.       194.       206.      ]
  [ 18.       193.       205.      ]
  ...
  [ 16.002474 183.00247  195.00247 ]
  [ 18.970001 181.97     197.97    ]
  [ 16.001001 179.001    195.001   ]]

 ...

 [[ 12.950012 169.95001  178.95001 ]
  [ 14.       170.       181.      ]
  [ 14.95     170.95     181.95    ]
  ...
  [ 14.049988 163.95001  173.      ]
  [ 13.       161.       171.      ]
  [ 13.       161.       171.      ]]

 [[ 12.01     169.01     178.01    ]
  [ 13.       169.       180.      ]
  [ 13.       169.       179.94301 ]
  ...
  [ 12.049988 161.95001  171.      ]
  [ 13.       161.       171.      ]
  [ 13.       161.       171.      ]]

 [[ 11.       168.       177.      ]
  [ 12.       168.       177.      ]
  [ 12.       168.       177.      ]
  ...
  [ 12.149963 162.04999  171.09998 ]
  [ 14.940603 162.9406   172.9406  ]
  [ 15.       163.       173.      ]]]",fulvoguttatus,58131.0
